Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Jumlah peringkat produk (product.metafields.reviews.rating_count),Produk komplementer (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produk terkait (product.metafields.shopify--discovery--product_recommendation.related_products),Pengaturan produk terkait (product.metafields.shopify--discovery--product_recommendation.related_products_display),Dorongan produk pencarian (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
labu-siam-japan,Labu Siam ( Japan ),"<p>Labu Siam pilihan dari Jepang dengan kualitas premium. Dipetik saat puncak kesegaran dengan kulit hijau mulus dan daging putih yang lembut. Tekstur halus dan rasa yang ringan membuatnya sempurna untuk berbagai hidangan — dari sup, tumisan, hingga lalapan segar. Labu Siam kaya akan vitamin C, serat, dan mineral penting yang mendukung kesehatan pencernaan dan kekebalan tubuh. Mudah diolah dan cocok untuk menu keluarga sehari-hari maupun bahan baku usaha kuliner.</p>
<p>Simpan di tempat sejuk untuk daya tahan lebih lama. Harga terjangkau dengan jaminan kesegaran dan kualitas terbaik untuk kebutuhan dapur Anda.</p>",Berkah Sayur Cabang Utama,,Sayur,"",true,Satuan,1 Kg,,,,,,,,BM14001,1000.0,,0,deny,manual,6000.00,8000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/labu-siam-japan.png?v=1775149158,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG-20260212-WA0001.jpg?v=1775149158,kg,,,active
labu-siam-japan,,,,,,,,,500 gr (5 ons),,,,,,,,BM14002,500.0,,0,deny,manual,4000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG-20260212-WA0001.jpg?v=1775149158,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG-20260212-WA0001.jpg?v=1775149158,g,,,
labu-siam-japan,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM14003,250.0,,0,deny,manual,2000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG-20260212-WA0001.jpg?v=1775149158,g,,,
daun-seledri,Daun Seledri,"<p>Daun Seledri segar pilihan langsung dari petani lokal terpercaya. Dipetik pada puncak kesegaran dengan daun hijau cerah dan aroma khas yang menyegarkan.</p>
<p>Daun Seledri kami ideal untuk pelengkap hidangan — dari sup, salad, tumisan, hingga minuman kesehatan. Memberikan aroma dan rasa yang segar serta ringan di setiap sajian. Kaya akan nutrisi dan mudah disimpan di lemari es untuk daya tahan optimal.</p>
<p>Harga terjangkau dengan kualitas terbaik, cocok untuk kebutuhan dapur sehari-hari maupun usaha kuliner skala kecil.</p>",Berkah Sayur Cabang Utama,,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM12001,1000.0,,0,deny,manual,35000.00,40000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-sledri.png?v=1775149151,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-sledri.png?v=1775149151,kg,,,active
daun-seledri,,,,,,,,,500 gr (5 ons),,,,,,,,BM12002,500.0,,0,deny,manual,18000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-sledri.png?v=1775149151,g,,,
daun-seledri,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM12003,250.0,,0,deny,manual,9000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-sledri.png?v=1775149151,g,,,
daun-seledri,,,,,,,,,100 gr (1 ons),,,,,,,,BM12004,100.0,,0,deny,manual,4000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-sledri.png?v=1775149151,g,,,
daun-bawang,Daun Bawang,"<p>Daun Bawang segar pilihan langsung dari petani lokal terpercaya. Dipetik pada puncak kesegaran dengan batang hijau cerah dan aroma kuat yang khas.</p>
<p>Daun Bawang kami ideal untuk pelengkap hidangan — dari sup, tumisan, hingga lauk pauk tradisional. Memberikan aroma dan rasa yang tajam serta segar di setiap sajian. Kaya akan nutrisi dan mudah disimpan di lemari es untuk daya tahan optimal.</p>
<p>Harga terjangkau dengan kualitas terbaik, cocok untuk kebutuhan dapur sehari-hari maupun usaha kuliner skala kecil.</p>",Berkah Sayur Cabang Utama,Uncategorized,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM11001,1000.0,,-1,deny,manual,15000.00,18000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Prei_30be8413-fd16-4d81-9c1b-334ca47532fd.jpg?v=1775149144,1,"",false,,,1,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-bawang-in-1-kg.png?v=1775149144,kg,,,active
daun-bawang,,,,,,,,,500 gr (5 ons),,,,,,,,BM1102,500.0,,0,deny,manual,18000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG-20260308-WA0014.jpg?v=1775149144,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-bawang-in-1-kg.png?v=1775149144,g,,,
daun-bawang,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM1103,250.0,,-1,deny,manual,5000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/daun-bawang-in-1-kg.png?v=1775149144,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Prei_30be8413-fd16-4d81-9c1b-334ca47532fd.jpg?v=1775149144,g,,,
